confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2
Aarhus GF - FC Sabah,Liga dos Campeões,05/08 13:30,Betano,1.65,3.95,5.2,0.590,0.235,0.176
Ferencvarosi TC - Gornik Zabrze,Liga Europa,05/08 15:15,Betano,1.72,3.6,4.65,0.557,0.252,0.191
CF Monterrey - Orlando City SC,Leagues Cup,05/08 20:30,Betano,2.3,3.85,2.82,0.418,0.244,0.338
FC Dallas - Querétaro FC,Leagues Cup,05/08 21:30,Betano,1.78,4.0,4.2,0.546,0.233,0.221
Union San Felipe - Universidad de Chile,Copa Chile,05/08 19:00,Betano,5.6,4.35,1.52,0.157,0.206,0.637
Santiago Wanderers - Unión La Calera,Copa Chile,05/08 19:00,Betano,3.6,3.5,1.98,0.255,0.263,0.482
Coquimbo Unido - CD San Marcos de Arica,Copa Chile,05/08 21:30,Betano,1.47,4.4,6.0,0.658,0.200,0.143
Deportes Iquique - Deportes Limache,Copa Chile,05/08 21:30,Betano,2.67,3.65,2.37,0.351,0.251,0.398
EC Pelotas - Uniao Frederiquense de Futebol RS,Campeonato Gaúcho - Divisão de Acesso,05/08 19:30,Betano,2.0,3.1,3.45,0.463,0.284,0.253
Olaria RJ - Nova Iguaçu,Copa Rio,05/08 14:45,Betano,3.25,3.2,2.12,0.277,0.282,0.441
Sao Goncalo EC RJ - Sampaio Correa RJ,Copa Rio,05/08 14:45,Betano,3.4,3.15,2.07,0.263,0.286,0.452
Marica RJ - Boavista-RJ,Copa Rio,05/08 15:00,Betano,2.77,3.1,2.45,0.330,0.292,0.377
Portuguesa-RJ - Madureira,Copa Rio,05/08 19:00,Betano,1.57,3.55,5.7,0.607,0.247,0.146
America EC Propria SE - AD Atletico Gloriense SE,Copa Governo do Estado de Sergipe,05/08 15:15,Betano,3.0,3.1,2.18,0.295,0.284,0.421
Falcon SE - Desportiva Aracaju,Copa Governo do Estado de Sergipe,05/08 19:00,Betano,1.57,3.45,5.4,0.602,0.248,0.150
Lagarto SE - AA Guarany,Copa Governo do Estado de Sergipe,05/08 20:00,Betano,1.47,3.6,6.4,0.645,0.233,0.121
SK Brann - Apollon Limassol,Liga Conferência,05/08 14:00,Betano,1.6,3.95,5.2,0.603,0.228,0.169
Panathinaikos - FC CSKA 1948 Sofia,Liga Conferência,05/08 15:30,Betano,1.19,6.7,17.0,0.828,0.126,0.046
FC Tulsa - Sacramento Republic,USL Championship,05/08 21:30,Betano,2.67,3.15,2.45,0.341,0.284,0.375
 El Paso Locomotive - Monterey Bay,USL Championship,05/08 22:00,Betano,1.67,3.85,4.15,0.567,0.225,0.207
Richmond Kickers - New York Cosmos,USL League One,05/08 20:00,Betano,2.65,3.55,2.32,0.347,0.252,0.401
