confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
Vila Nova - Sport Recife,Brasileirão - Série B,08/08 16:00,Betano,2.25,3.05,3.5,0.425,0.308,0.267,2.5,2.12,1.67,,0.434,0.566,,0.5,1.52,2.45,,0.629,0.371,,,1.32,1.36,1.67,0.419,0.381,0.200,,1.55,2.37,,0.615,0.385,,,1.8,1.9,,0.515,0.485,
Deportivo Riestra - Estudiantes de La Plata,Liga Profesional,08/08 14:45,Betano,2.92,2.75,2.92,0.326,0.347,0.326,1.5,1.83,2.0,,0.524,0.476,,0.5,1.8,1.98,,0.526,0.474,,,1.44,1.42,1.44,0.329,0.343,0.329,,1.87,1.87,,0.500,0.500,,,2.57,1.47,,0.349,0.651,
Club Atletico Tucuman - CA Sarmiento,Liga Profesional,08/08 14:45,Betano,1.88,3.1,5.1,0.515,0.304,0.180,1.5,1.53,2.52,,0.632,0.368,,0.5,1.62,2.25,,0.589,0.411,,,1.19,1.34,1.95,0.544,0.359,0.097,,1.31,3.3,,0.738,0.262,,,2.2,1.62,,0.416,0.584,
CA Tigre - River Plate,Liga Profesional,08/08 17:00,Betano,3.65,2.92,2.3,0.257,0.325,0.418,1.5,1.65,2.27,,0.585,0.415,,0.5,1.7,2.12,,0.560,0.440,,,1.65,1.38,1.31,0.208,0.364,0.428,,2.4,1.53,,0.377,0.623,,,2.3,1.57,,0.395,0.605,
Boca Juniors - Velez Sarsfield,Liga Profesional,08/08 19:15,Betano,1.8,3.35,5.1,0.539,0.281,0.180,1.5,1.55,2.45,,0.622,0.378,,0.5,1.62,2.25,,0.589,0.411,,,1.18,1.32,2.02,0.552,0.369,0.080,,1.28,3.45,,0.755,0.245,,,2.32,1.57,,0.393,0.607,
Orlando City SC - Club León,Leagues Cup,08/08 19:30,Betano,2.1,3.75,3.25,0.459,0.250,0.291,3.5,2.37,1.6,,0.396,0.604,,1.5,2.35,1.57,,0.391,0.609,,,1.36,1.27,1.75,0.372,0.463,0.165,,1.55,2.35,,0.614,0.386,,,1.47,2.55,,0.650,0.350,
Huachipato - Everton de Vina Del Mar,Liga de Primera,08/08 16:00,Betano,2.42,3.3,3.0,0.397,0.287,0.317,2.5,1.88,1.93,,0.507,0.493,,0.5,1.42,2.8,,0.679,0.321,,,1.42,1.32,1.6,0.340,0.425,0.235,,1.7,2.07,,0.554,0.446,,,1.65,2.15,,0.573,0.427,
Barcelona Guayaquil - Macará,Liga Pro Serie A,08/08 21:00,Betano,1.83,3.15,4.85,0.523,0.292,0.184,2.5,2.07,1.7,,0.446,0.554,,0.5,1.47,2.57,,0.651,0.349,,,1.2,1.33,2.0,0.534,0.374,0.092,,1.31,3.3,,0.738,0.262,,,1.87,1.85,,0.497,0.503,
Botafogo PB - Santa Cruz-PE,Brasileirão - Série C,08/08 17:00,Betano,2.02,3.25,3.6,0.468,0.280,0.251,2.5,2.05,1.7,,0.448,0.552,,0.5,1.47,2.5,,0.646,0.354,,,1.29,1.31,1.78,0.435,0.413,0.152,,1.47,2.52,,0.648,0.352,,,1.85,1.85,,0.500,0.500,
Figueirense - Ferroviária,Brasileirão - Série C,08/08 17:00,Betano,2.22,3.0,3.35,0.423,0.306,0.271,2.5,2.37,1.52,,0.377,0.623,,0.5,1.57,2.27,,0.602,0.398,,,1.32,1.34,1.65,0.410,0.390,0.200,,1.55,2.3,,0.610,0.390,,,2.02,1.7,,0.451,0.549,
Inter de Limeira - Volta Redonda,Brasileirão - Série C,08/08 19:30,Betano,1.93,3.2,3.95,0.491,0.284,0.226,2.5,2.25,1.57,,0.400,0.600,,0.5,1.52,2.37,,0.623,0.377,,,1.25,1.31,1.85,0.472,0.403,0.126,,1.4,2.75,,0.683,0.317,,,2.02,1.72,,0.455,0.545,
Ituano - Barra SC,Brasileirão - Série C,08/08 19:30,Betano,1.93,3.15,4.15,0.493,0.291,0.216,2.5,2.3,1.55,,0.390,0.610,,0.5,1.55,2.3,,0.610,0.390,,,1.24,1.32,1.85,0.483,0.391,0.125,,1.38,2.82,,0.693,0.307,,,2.05,1.7,,0.448,0.552,
